dis_id,dis_type,event_name,location,start_year,start_month,start_day,end_year,end_month,end_day
2016-0012-USA,Storm,NA,"Ventura, Orange, San Diego, Los Angles districts (California province)",2016,1,4,2016,1,8
2016-0203-USA,Storm,NA,"Greenbier district (West Virginia province); Ohio, Indiana, Illinois, Wisconsin, Virginia",2016,6,22,2016,6,24
2016-0125-USA,Storm,NA,"Texas, Oklahoma, Arkansas, Louisiana, Mississippi, Kansas, Virginia, North Carolina, Georgia, Missouri, Illinois, West Virginia provinces",2016,4,25,2016,5,4
2016-0123-USA,Storm,NA,"Dallas-Fort Worth (Dallas, Wise, Tarrant, Denton, Parker), Wylie, Plano, Little Elm, Rockwall, Bettie, Emory in Collin, Denton, Upshur, Rockwall, Rains, San Antonio metro regions, Helotes, Alamo Heights, Kirby, Hollywood Park, Carrizo Springs, Terrel Hills (Bexar, Dimmit) (Texas), Oklahoma, Kansas, Missouri, Arkansas, Mississippi, Louisiana",2016,4,10,2016,4,15
2016-0150-USA,Storm,NA,"Oklahoma, Colorado, Nebraska, Kansas, Iowa, Missouri, Arkansas, Illinois, Kentucky, Texas,Tennessee states",2016,5,8,2016,5,11
2016-0086-USA,Storm,NA,"Texas, Mississippi, Louisiana, Florida provinces",2016,3,17,2016,3,18
2016-0087-USA,Storm,NA,"Texas, Oklahoma, Louisiana, Arkansas, Mississippi, Alabama, Florida provinces",2016,3,22,2016,3,25
2016-0124-USA,Flood,NA,"Fayette, Grimes, Harris, Parker counties, Houston districts (Texas province)",2016,4,16,2016,4,19
2016-0183-USA,Flood,NA,"Texas, Oklahoma, Arkansas, Kansas, Nebraska provinces",2016,5,27,2016,6,2
2016-0181-USA,Storm,NA,"Houston district (Texas province), Brenham city (Washington district, Texas province); Montana, Kansas, Missouri, Colorado",2016,5,21,2016,5,28
2016-0085-USA,Storm,NA,"California, Lousiana, Texas, Arkansas, Tennessee, Mississippi, Alabama, Oklahoma, Kentucky, Ohio provinces",2016,3,4,2016,3,12
2016-0010-USA,Storm,Storm Jonas (Snowzilla),"Washington D.C. (District of Columbia district, District of Columbia province), New York, New Jersey, Pennsylvania, Maryland, Virginia, Tennessee, Kentucky, Delaware, West Virginia, Georgia, North Carolina provinces",2016,1,23,2016,1,26
2016-0051-USA,Storm,NA,"Alabama, Mississippi, Virginia, Connecticut, Florida, Georgia, Louisiana, Massachusetts, Maryland, North Carolina, New Jersey, New York, Pennsylvania, South Carolina, Texas",2016,2,22,2016,2,25
2016-0206-USA,Wildfire,NA,California province,2016,6,25,2016,6,26
2016-0264-USA,Wildfire,Sand Fire,"Los Angeles, San Francisco districts (California province)",2016,7,24,2016,8,1
2016-0297-USA,Wildfire,Clayton Fire,"Lower Lake, Clearlake (Lake district, California province)",2016,8,13,2016,8,16
2016-0170-USA,Flood,NA,"Palestine city (Anderson district, Texas province), Houston district (Texas province)",2016,4,30,2016,4,30
2016-0292-USA,Flood,NA,"Louisiana, Mississippi, Missouri, Illinois, Indiana; Allamakee, Clayton, Fayette, Howard, Winneshiek counties (Iowa)",2016,8,9,2016,8,16
2016-0322-USA,Storm,Hurricane Hermine,"Georgia, Florida, South Carolina, New York, New Jersey; Cedar Key, Florida, Aurora (North Carolina); Virginia Tidewater region",2016,9,1,2016,9,6
2016-0331-USA,Flood,NA,"Minnesota; Buffalo, Chippewa, Clark, Columbia, Crawford, Eau Claire, Jackson, La Crosse, Monroe, Richland, Sauk, Trempealeau, and Vernon (Wisconsin); Allamakee, Benton, Black Hawk, Bremer, Buchanan, Butler, Cedar, Chickasaw, Delaware, Floyd, Franklin, Linn, Wright (Iowa)",2016,9,19,2016,9,23
2016-0477-USA,Storm,NA,"Alabama, Mississippi, Tennessee, Georgia, South Carolina, Louisiana, North Carolina provinces",2016,11,26,2016,12,1
2016-0521-USA,Storm,NA,"Northern (Missouri, Maryland, Oklahoma, Indiana, Michigan, New Mexico, Ohio, Virginia)",2016,12,13,2016,12,19
2016-0355-USA,Storm,Hurricane 'Matthew',"Florida, Georgia, South Carolina, North Carolina, Virginia provinces",2016,10,8,2016,10,12
2016-0550-USA,Storm,NA,"Texas, Oklahoma, Kansas, Missouri, Nebraska, Illinois, Indiana, Kentucky, Ohio",2016,4,24,2017,4,28
2016-0493-USA,Earthquake,NA,Cushing (Oklahoma),2016,11,7,2016,11,7
2016-0552-USA,Flood,NA,"Texas, Louisiana (Shreveport, Haugton), Arkansas, Mississipi",2016,3,8,2016,3,13
2017-0039-USA,Storm,NA,"California, Nevada, Idaho, Colorado, Utah, Oregon states",2017,1,6,2017,1,13
2017-0136-USA,Flood,NA,"East and West Canton (Van Zandt county) (Texas); Kampville (St Charles) (Missouri); Logan, Marion, Miles Station (Macoupin), Sumner (Lawrence), Pawnee (Sangamon) (Illinois); Natural Dam (Crawford), Mississipi, Clay (Arkansas); Oak ridge (Morehouse) (Louisiana) ; Labette (Kansas); Cameron (Le Flore) (Oklahoma); Goshen (Oldham) (Kentucky) ; Ohio; Pennsylvania; West Virginia ; Mississipi ; Alabama ; Tennesse ; Indiana",2017,4,28,2017,5,1
2017-0336-USA,Storm,NA,"Tulsa (Oklahoma); Texas, Louisiana, Kansas, Missouri",2017,8,5,2017,8,8
2017-0542-USA,Storm,NA,"Georgia, North Carolina, Maryland, Virginia, New York, New Jersey, Massachusetts, Michigan, Texas, Mississippi, Missouri",2017,12,31,2018,1,5
2017-0062-USA,Storm,NA,"Center and south of California (San Diego, Los Angeles, San Francisco, Sacramento)",2017,2,8,2017,2,21
2017-0234-USA,Storm,NA,"Colorado, Kansas, Illinois, Indiana, Texas (Gregg County, Tenneryville, Easton, Longview City), Oklahoma (Okfuskee), Missouri (Bates, Carthage, Laclede, Pulaski, Phelps, Dent, Texas Counties, Crawfordsville, Phillipsburg, Edgar Springs, Salem, Evening Shade, Palace, Big Piney), Arkansas, Ohio, Kentucky, Tennessee (Millington, Memphis, Knoxville), Virginia, Louisiana (Natchitoches, DeSoto, Caddo, Caldwell, Franklin, LaSalle, Winn, Rapides, Catahoula, Concordia Parishes, Goldonna), North Dakota, South Dakota, Minnesota, Iowa, Ohio, Pennsylvania, New York, North Carolina (Sampson County, Salemburg, Clinton), South Carolina, Georgia, New Mexico",2017,6,25,2017,6,29
2017-0564-USA,Storm,NA,"Texas (Justin in Denton, Collin, Rockwall, Lubbock counties, Seymour in Baylor, Dallas – Fort Worth metro area, Houston metro area), Oklahoma (El Reno in Canadian, Oklahoma city metro region, Caddo in Bryan, Cleveland South and East), Kansas (south), Kentucky, Tennessee, Mississippi, Alabama, Georgia, Indianapolis (Marion-IN)",2017,3,25,2017,3,28
